Date,PONumber,Name,Item,Paid,Qty,Sales Price,Amount
01/05/2017,3511,System Design & Integration,HDBT-SET-3,Paid,1.00 ,300.00,300.00 
01/06/2017,95051-X,Heartland Video,HDMI-1-R,Paid,8.00 ,82.50,660.00 
01/06/2017,95051-X,Heartland Video,LE-16HD,Paid,2.00 ,"5,997.00","11,994.00 "
01/06/2017,95051-X,Heartland Video,LX-16HD,Paid,1.00 ,"6,420.00","6,420.00 "
01/06/2017,95051-X,Heartland Video,SPP,Paid,3.00 ,140.00,420.00 
01/16/2017,21565,BZB Express,DA-2HD,Paid,2.00 ,93.75,187.50 
01/16/2017,21589,BZB Express,DVI-E,Paid,2.00 ,22.50,45.00 
01/16/2017,21589,BZB Express,VGA-E,Paid,2.00 ,22.50,45.00 
01/16/2017,DSI-127802-SO6625,Diversified Systems,VGA-1x2,Paid,10.00 ,112.50,"1,125.00 "
01/16/2017,577287,Ford Audio-Video,HDMI-1x2-II,Paid,1.00 ,105.00,105.00 
01/16/2017,0000004925,Gearhouse Broadcast,EVS-Set-1,Paid,1.00 ,595.00,595.00 
01/18/2017,18429,Digital Resources Inc.,DE-4,Paid,1.00 ,"3,498.60","3,498.60 "
01/18/2017,18429,Digital Resources Inc.,OG3-FR-CN-P,Paid,1.00 ,"1,645.00","1,645.00 "
01/18/2017,18429,Digital Resources Inc.,PS-OG3,Paid,1.00 ,547.82,547.82 
01/18/2017,18429,Digital Resources Inc.,SPP,Paid,2.00 ,140.00,280.00 
01/18/2017,BMCourtHot,Murphy's Music,HDMI-1x4,Paid,3.00 ,240.00,720.00 
01/19/2017,40144MFCM,Omega,DA-4HD,Paid,1.00 ,187.50,187.50 
01/19/2017,40144MFCM,Omega,DA-8HD,Paid,1.00 ,262.50,262.50 
01/20/2017,201-1289,IPR Services,OG-DA-HDTV-SDI-SET-2,Paid,10.00 ,"1,185.00","11,850.00 "
01/20/2017,201-1289,IPR Services,OG-MiniQ-SET-1,Paid,4.00 ,"1,725.00","6,900.00 "
01/23/2017,122477,Avidex,HDBT-SET-3,Paid,1.00 ,300.00,300.00 
01/23/2017,KW170120029,B&H Photo - Video,US-3500,Paid,1.00 ,"1,125.00","1,125.00 "
01/23/2017,18429,Digital Resources Inc.,OG-MiniDE-II-SET-1,Paid,8.00 ,"1,750.00","14,000.00 "
01/23/2017,DSI-128816-110298,Diversified Systems,HDMI-1x2-II,Paid,1.00 ,105.00,105.00 
01/23/2017,DSI-128834-110251,Diversified Systems,HDMI-1x2-II,Paid,2.00 ,105.00,210.00 
01/26/2017,201-1299,IPR Services,OG-DA-HDTV-SDI-SET-2,Paid,7.00 ,"1,185.00","8,295.00 "
03/09/2017,201-1299,IPR Services,OG-DA-HDTV-SDI-SET-2,Paid,(3.00),"1,185.00","(3,555.00)"
01/26/2017,70206201,"Troxell Communications, Inc",HDBT-SET-1,Paid,1.00 ,375.00,375.00 
01/27/2017,122291,Avidex,HDM2.0-1x4,Paid,1.00 ,300.00,300.00 
01/27/2017,578354,Ford Audio-Video,MicroQ-S,Paid,1.00 ,746.25,746.25 
01/27/2017,282735,VMI Video,HDMI-1-R,Paid,9.00 ,82.50,742.50 
01/27/2017,282735,VMI Video,W-3x3,Paid,1.00 ,"3,000.00","3,000.00 "
01/30/2017,46079,Lubbock Audio Video,Mi-16+,Paid,1.00 ,"2,625.00","2,625.00 "
01/30/2017,282773,VMI Video,HDMI-E,Paid,5.00 ,30.00,150.00 
,,,,,,,
02/01/2017,563879,AVI Systems,MiniDE-4,Paid,1.00 ,"1,125.00","1,125.00 "
02/01/2017,122693,Avidex,Accessories:DC-48V-0.83A,Paid,2.00 ,50.00,100.00 
02/01/2017,631093,Tower,HDMI-1x2-II,Paid,1.00 ,105.00,105.00 
02/02/2017,631241,Tower,HDMI-SET-2,Paid,1.00 ,157.50,157.50 
02/03/2017,631445,Tower,EDID-L-H,Paid,1.00 ,82.50,82.50 
02/03/2017,631445,Tower,HDMI-E,Paid,5.00 ,30.00,150.00 
02/06/2017,17-1883,AudiSee AV,W-3x3,Paid,1.00 ,"3,000.00","3,000.00 "
02/06/2017,282808,VMI Video,HDMI-1-E,Paid,1.00 ,75.00,75.00 
02/07/2017,21783,BZB Express,DA-2HD,Paid,4.00 ,93.75,375.00 
02/07/2017,21792,BZB Express,DA-2HD,Paid,1.00 ,93.75,93.75 
02/07/2017,631445,Tower,DA-HDTV-SDI,Paid,3.00 ,525.00,"1,575.00 "
02/08/2017,2549619-001,Adorama Inc.,DB25-AA-UNBL,Paid,1.00 ,45.00,45.00 
02/08/2017,ND17-14559,Beck Associates,OG-DA-HDTV-SDI-SET-1,Paid,10.00 ,588.00,"5,880.00 "
02/08/2017,PO04821,Colorado Studios,EVS-1-R,Paid,2.00 ,300.00,600.00 
02/08/2017,PO04821,Colorado Studios,EVS-Set-1,Paid,6.00 ,600.00,"3,600.00 "
02/08/2017,DSI-129905-SO6741,Diversified Systems,USB-12m,Paid,6.00 ,33.75,202.50 
02/08/2017,95390-Y,Heartland Video,OG-MiniQ-SET-1,Paid,1.00 ,"1,610.00","1,610.00 "
02/08/2017,101646,"VTP/MTSU, USA",LX-12HD,Paid,1.00 ,"5,775.00","5,775.00 "
02/08/2017,101646,"VTP/MTSU, USA",RPS-LE16,Paid,1.00 ,112.00,112.00 
02/08/2017,101646,"VTP/MTSU, USA",SDI-OUT,Paid,1.00 ,280.00,280.00 
02/09/2017,16413,Summit Integrated Systems,DA-HDTV-SDI,Paid,1.00 ,560.00,560.00 
02/10/2017,31078,Burst,DA-4HD,Paid,1.00 ,187.50,187.50 
02/10/2017,31078,Burst,DA-SDI-DE,Paid,1.00 ,637.50,637.50 
02/10/2017,31078,Burst,DA-SDI-HDTV-II,Paid,1.00 ,247.50,247.50 
02/13/2017,DSI-129905-SO6741,Diversified Systems,USB-12m,Paid,1.00 ,33.75,33.75 
02/14/2017,21853,BZB Express,SCSI 68pin TO DB-9 Cable,Paid,1.00 ,40.00,40.00 
02/14/2017,3535,System Design & Integration,HDBT-SET-4,Paid,2.00 ,450.00,900.00 
02/15/2017,123045,Avidex,HDBT-SET-5-II,Paid,1.00 ,570.00,570.00 
02/15/2017,21878,BZB Express,HDMI-E,Paid,1.00 ,30.00,30.00 
02/15/2017,201-1307,IPR Services,OG-US-3500-SET-1,Paid,7.00 ,"1,350.00","9,450.00 "
02/15/2017,282867,VMI Video,EDID-L-H,Paid,1.00 ,82.50,82.50 
02/15/2017,282867,VMI Video,HDMI-E,Paid,3.00 ,30.00,90.00 
02/20/2017,1342832,AVI-SPL,HDMI-1x2-II,Paid,1.00 ,105.00,105.00 
02/20/2017,1343186,AVI-SPL,HDMI-SET-2,Paid,1.00 ,157.50,157.50 
02/21/2017,123210,Avidex,HDBT-1-Rs-II-POE,Paid,2.00 ,225.00,450.00 
02/21/2017,KW1702211102,B&H Photo - Video,OG-DA-HDTV-SDI-SET-1,Paid,2.00 ,630.00,"1,260.00 "
02/21/2017,P1157754,VER,OPS-SDI-HDTV,Paid,30.00 ,400.20,"12,006.00 "
02/22/2017,KW170221144,B&H Photo - Video,HDMI-E,Paid,5.00 ,30.00,150.00 
02/27/2017,567323,AVI Systems,HDMI-1-R,Paid,1.00 ,82.50,82.50 
02/27/2017,OIC021017,OIC - USA,T-OIC-802-FR,Paid,1.00 ,525.00,525.00 
02/28/2017,21972,BZB Express,UNI-SW,Paid,1.00 ,225.00,225.00 
02/28/2017,95815-X,Heartland Video,HDMI-1-R,Paid,8.00 ,82.50,660.00 
02/28/2017,95815-X,Heartland Video,LE-32HD,Paid,1.00 ,"14,000.00","14,000.00 "
02/28/2017,95828-S,Heartland Video,KVM-SET-10,Paid,10.00 ,350.00,"3,500.00 "
,,,,,,,
03/01/2017,35303,PRECO,CP-16,Paid,1.00 ,630.00,630.00 
03/01/2017,35303,PRECO,T#-64x8-4RU-H,Paid,1.00 ,"43,520.00","43,520.00 "
03/02/2017,31172,Burst,DA-SDI-DE,Paid,1.00 ,637.50,637.50 
03/02/2017,1906,Triton Technology Solutions,DA-HDTV-SDI,Paid,2.00 ,525.00,"1,050.00 "
03/02/2017,1906,Triton Technology Solutions,MicroQ-S,Paid,2.00 ,746.25,"1,492.50 "
03/02/2017,101836,"VTP/MTSU, USA",MicroQ-S,Paid,1.00 ,746.25,746.25 
03/03/2017,44870,Advanced Systems Group,HDMI-8-SER(M),Paid,1.00 ,450.00,450.00 
03/03/2017,101854,"VTP/MTSU, USA",HDMI-DE,Paid,1.00 ,300.00,300.00 
03/06/2017,44863,Advanced Systems Group,DA-HDTV-SDI,Paid,6.00 ,525.00,"3,150.00 "
03/06/2017,44863,Advanced Systems Group,EDID-L-H,Paid,6.00 ,82.50,495.00 
03/06/2017,44863,Advanced Systems Group,OG-US-3000-SET-1,Paid,10.00 ,"1,260.00","12,600.00 "
03/06/2017,DSI-130888-110785,Diversified Systems,DA-2HD,Paid,4.00 ,93.75,375.00 
03/06/2017,DSI-130888-110785,Diversified Systems,OG-Micro-4K-SET-1,Paid,1.00 ,836.50,836.50 
03/06/2017,DSI-130888-110785,Diversified Systems,PS-OG3,Paid,1.00 ,547.82,547.82 
03/06/2017,DSI-130895-110786,Diversified Systems,OG3-FR-CN-P,Paid,1.00 ,"1,645.00","1,645.00 "
03/06/2017,DSI-130895-110786,Diversified Systems,OG-MiniQ-SET-1,Paid,8.00 ,"1,610.00","12,880.00 "
03/07/2017,22030,BZB Express,UNI-SW,Paid,1.00 ,225.00,225.00 
03/09/2017,96065-Y,Heartland Video,DA-HDTV-SDI,Paid,2.00 ,525.00,"1,050.00 "
03/10/2017,1349882,AVI-SPL,HDMI-1x2-II,Paid,2.00 ,105.00,210.00 
