Status,Progress,Duration (in seconds),Finished,RecordedDate,VIDCODE,ID,describe,ONEW_1,ONEW_2,ONEW_3,ONEW_4,ONEW_5,ONEW_6,ONEW_7,ONEW_8,ONEW_9,ONEW_10,ONEW_11,ONEW_12,ONEW_13,ONEW_14,AWEsSml_1,AWEsSml_2,AWEsSml_3,AWEsSml_4,AWEsSml_5,AWEsSml_AVG,AWEstime_1,AWEstime_2,AWEstime_3,AWEstime_4,AWEstime_5,AWEstime_AVG,AWEsCNCT_1,AWEsCNCT_2,AWEsCNCT_3,AWEsCNCT_4,AWEsCNCT_5,AWEsCNCT_AVG,AWEsVast_1,AWEsVast_2,AWEsVast_3,AWEsVast_4,AWEsVast_5,AWEsVast_AVG,AWEsPHYS_1,AWEsPHYS_2,AWEsPHYS_3,AWEsPHYS_4,AWEsPHYS_5,AWEsPHYS_AVG,AWEsNFA_1,AWEsNFA_2,AWEsNFA_3,AWEsNFA_4,AWEsNFA_5,AWEsNFA_AVG,AWE_AVG,SRISmodE_1,RCSRISmodE_1,SRISmodE_2,RCSRISmodE_2,SRISmodE_3,SRISmodE_4,RCSRISmodE_4,SRISmodE_5,SRISmodE_6,SRISmodE_AVG,SRISmodI_1,SRISmodI_2,RCSRISmodI_2,SRISmodI_3,SRISmodI_4,RCSRISmodI_4,SRISmodI_5,RCSRISmodI_5,SRISmodI_6,RCSRISmodI_6,SRISmodI_7,RCSRISmodI_7,SRISmodI_8,SRISmodI_AVG,INTRSPC_1,INTRSPC_2,INTRSPC_3,INTRSPC_4,INTRSPC_5,INTRSPC_6,INTRSPC_AVG,VIDA_1,VIDA_2,VIDA_3,VIDA_4,VIDA_5,VIDA_6,VIDA_AVG,DISTRAC1_1,DPES_1,DPES_2,DPES_3,DPES_4,DPES_5,DPES_6,DPES_AVG,CRTYR,CRTSEM,AGEyr,brthyrentr,AGEmon,SCHLYR,SCHLYR_5_TEXT,SEX,Ethncty,Ethncty_3_TEXT,RACE,RACE_8_TEXT,MARRY,PREVPAR,SEENIT,ProSoc
0,100,1259,1,11/12/2019 18:31,1,111264466,I thought it was cool that it kind of showed the different parts of the earth. In a word I felt pretty in awe of how truly awesome the world is and how vast and diverse it is as well.,7,7,7,7,1,7,7,7,7,1,4,7,7,7,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,4,7,7,6,2,2,5,4,5,3.6,5.77,1,7,1,7,7,5,3,7,7,6.33,7,3,5,7,3,5,3,5,2,6,2,6,7,6,4,6,7,3,3,5,4.67,6,6,3,2,1,7,4.17,1,7,7,7,7,7,7,7,4,1,10,.,6,2,.,1,2,.,1,.,1,2,.,1
0,100,1105,1,11/12/2019 18:32,1,111265895,I felt immense joy while watching the presentation. All the scenes were beautiful and made me happy to have such a beautiful planet to live on.,7,7,5,7,1,7,6,4,4,1,4,7,4,7,1,1,1,1,1,1,7,7,6,5,7,6.4,6,7,7,7,7,6.8,7,7,7,7,7,7,4,3,3,5,7,4.4,3,3,3,3,5,3.4,4.83,1,7,1,7,7,5,3,7,3,5.67,7,1,7,3,5,3,3,5,2,6,3,5,5,5.13,2,5,5,3,2,5,3.67,5,6,5,1,1,7,4.17,1,6,7,5,7,6,5,6,4,1,8,.,4,2,.,1,2,.,1,.,3,2,.,2
0,100,1155,1,11/12/2019 18:32,1,11264468,I love seeing the mountains seeing as a lot of goals in my life include rock climbing or hiking something. So watching it was fun. The music was fine until about 30 seconds in I started noticing that it was in a different language and so I found my self going in-between watching the video to then listening what the language was. It didn't raise any emotions but differently distracted me from the video.,5,4,4,4,1,6,4,4,4,1,2,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,6,3.8,1,1,1,1,2,1.2,1,1,1,1,1,1,6,4,6,1,5,4.4,2.07,1,7,2,6,1,7,1,2,4,3.5,4,5,3,1,1,7,1,7,2,6,2,6,1,4.38,1,1,2,7,1,1,2.17,1,5,4,6,1,4,3.5,3,1,6,1,7,7,4,4.33,4,1,8,.,11,1,.,1,2,.,1,.,3,2,.,2
0,100,1754,1,11/12/2019 18:32,1,111260782,"I didn't know what to feel so I found myself trying to force myself to feel a certain way. I felt bored watching it and trying to stay focus on the video, which I did but it wasn't that exciting, probably because animal and wildlife doesn't really interest me. There were some cool parts but I wasn't captivated.",3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.2,1,1,1,1,1,1,5,2,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1.4,1.27,2,6,6,2,5,2,6,4,5,4.67,5,7,1,2,5,3,5,3,3,5,4,4,4,3.38,1,1,1,1,1,1,1,3,4,5,5,1,5,3.83,2,5,4,4,4,2,2,3.5,4,1,8,.,2,2,.,.,1,.,6,.,3,2,.,2
0,100,993,1,11/12/2019 18:33,1,111264989,"I felt peace. I felt lighter and happier as the video progressed. After watching this, I felt like I was more confident and wanted to take chances I might not usually",7,7,6,6,1,7,5,1,4,1,4,7,6,7,1,1,1,1,1,1,4,4,4,4,4,4,5,4,4,5,5,4.6,7,7,7,7,7,7,4,7,2,7,6,5.2,5,4,3,3,5,4,4.3,2,6,2,6,6,7,1,7,7,5.5,7,3,5,2,3,5,3,5,6,2,6,2,5,4.13,7,6,7,7,4,4,5.83,5,7,7,5,1,6,5.17,2,5,4,5,3,3,5,4.17,4,1,9,.,7,2,.,2,2,.,1,.,3,2,.,2
0,100,1606,1,11/12/2019 18:33,1,111269900,"I felt very calm and at peace while seeing the clips of nature and the world. The music, which was also calming, I feel had a great part to play in the peaceful feelings I experienced during the presentation. I think that if the music had been faster paced or more upbeat I would have felt different emotions while watching the presentation. ",7,7,5,6,2,7,7,7,4,3,5,7,7,7,5,5,6,6,7,5.8,6,6,6,6,6,6,5,6,5,6,5,5.4,7,7,7,7,7,7,3,5,2,4,6,4,3,2,2,4,5,3.2,5.23,2,6,1,7,6,2,6,6,7,6.33,7,3,5,6,5,3,2,6,3,5,2,6,5,5.38,6,7,6,7,7,6,6.5,6,7,6,3,2,7,5.17,1,5,7,6,7,6,7,6.33,4,1,5,.,11,1,.,2,1,.,1,.,3,2,.,2
0,100,1148,1,11/12/2019 18:33,1,111264335,I felt amazed and bewildered while watching the presentation because it reminded me how big the earth really is and how small we are as humans compared to the rest of the planet. ,7,6,6,4,3,5,4,4,5,5,6,7,5,7,5,5,6,7,7,6,5,5,5,5,4,4.8,6,5,5,6,4,5.2,6,7,6,6,6,6.2,4,6,4,6,5,5,2,2,2,2,2,2,4.87,3,5,2,6,6,4,4,7,6,5.67,5,6,2,5,3,5,3,5,2,6,4,4,4,4.5,2,5,4,5,3,3,3.67,6,6,5,2,2,7,4.67,1,3,5,2,3,4,5,3.67,4,1,6,.,10,1,.,2,2,.,1,.,3,2,.,2
0,100,1911,1,11/12/2019 18:33,1,11121988347,"The video was awesome. It was simple, but powerful. There was so much about the world that was shown and it was amazing. Life is powerful and something to be treasured. I felt joy, peace, amazement, and desire to learn more about the world as I watched the short clip. ",7,4,6,6,5,7,7,3,1,1,5,6,6,6,1,5,3,4,4,3.4,2,2,2,2,2,2,5,5,5,4,4,4.6,6,6,5,5,6,5.6,5,4,3,3,5,4,6,6,7,5,6,6,4.27,2,6,5,3,6,7,1,7,7,5,6,2,6,5,2,6,1,7,1,7,1,7,7,6.38,2,2,5,1,1,4,2.5,5,5,5,5,2,6,4.67,1,6,7,7,6,6,5,6.17,4,1,10,.,7,4,.,1,2,.,1,.,1,2,.,2
0,100,1298,1,11/12/2019 18:33,1,111262707,I felt that the world is pretty amazing and all of God's creations were put where they need to be and that the world was created for our enjoyment and so that we can experience true beauty. It also made me worry that we may one day destroy the thing that we see as so beautiful.,7,7,5,5,4,7,5,6,5,2,4,6,6,7,1,1,1,1,5,1.8,5,1,1,1,1,1.8,5,5,5,5,5,5,7,7,7,7,7,7,3,5,1,4,1,2.8,1,1,1,1,6,2,3.4,1,7,1,7,7,2,6,7,7,6.83,7,5,3,4,5,3,1,7,1,7,1,7,5,5.38,5,5,3,1,5,4,3.83,5,5,5,4,3,5,4.5,2,6,6,5,3,3,7,5,4,1,7,.,3,3,.,2,2,.,1,.,1,2,.,2
0,100,1836,1,11/12/2019 18:33,4,111269798,"I'm not sure that I would have watched the whole video if I was by myself. It was funny at first but by the end I was done with the joke, ",5,5,4,5,1,4,4,4,4,4,5,3,3,3,3,3,3,3,3,3,5,6,5,6,6,5.6,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,5,5,5,5,5,5,3.1,6,2,6,2,6,2,6,3,3,3.67,6,3,5,3,3,5,3,5,5,3,6,2,5,4.25,1,1,1,1,1,1,1,1,1,1,5,5,3,2.67,3,6,7,6,7,7,7,6.67,4,1,6,.,5,2,.,2,2,.,1,.,3,2,.,2
0,100,1421,1,11/12/2019 18:33,4,11121965736,"For some parts during the video, it was funny. I enjoyed these parts of it, however for the most part the jokes were really bad. In retrospect it's funnier than it was while we were watching it. The intermittent laughs through the room while we were watching the video I felt were a good indication of how I felt during it.",1,2,2,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1.2,1.03,1,7,7,1,7,7,1,7,1,4,7,5,3,1,1,7,1,7,1,7,1,7,7,5.75,1,1,1,1,1,1,1,1,1,1,7,5,2,2.83,1,6,6,5,7,7,6,6.17,4,1,9,.,10,4,.,1,2,.,1,.,3,2,.,2
0,100,2068,1,11/12/2019 18:33,4,11121968786,"I didn't understand what was happening, and then it was just funny and I was entertained. The entire video didn't necessarily make me happy or sad but it entertained the happiness side for a minute. ",5,6,6,7,1,5,2,2,2,2,7,3,3,5,1,1,1,1,1,1,6,6,6,6,6,6,4,4,4,3,4,3.8,3,3,5,3,3,3.4,3,3,3,3,5,3.4,1,1,5,5,6,3.6,3.53,5,3,3,5,6,5,3,5,5,4.5,6,5,3,4,4,4,3,5,5,3,3,5,5,4.38,2,2,2,2,2,2,2,2,2,2,2,6,4,3,1,4,6,4,6,5,5,5,4,1,6,.,11,1,.,1,2,.,1,.,3,2,.,2
0,100,2501,1,11/12/2019 18:33,4,11121969205,It was very pleasing and funny. ,2,6,7,6,1,6,4,1,1,1,6,1,1,4,2,1,1,1,1,1.2,5,5,5,4,4,4.6,4,5,4,4,4,4.2,1,1,1,1,2,1.2,3,2,2,2,4,2.6,5,2,1,2,2,2.4,2.7,6,2,4,4,7,3,5,5,6,4.83,5,5,3,6,5,3,1,7,1,7,1,7,7,5.63,1,1,1,1,1,1,1,1,1,1,1,7,6,2.83,1,7,5,5,6,6,6,5.83,4,1,5,.,4,1,.,1,1,.,7,.,3,2,.,2
0,100,1991,1,11/12/2019 18:34,4,11121966241,I felt happy as I watched the video. There were parts that were funnier than others that I enjoyed more. ,3,6,3,6,1,3,3,3,3,3,5,3,3,3,5,5,5,5,4,4.8,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.8,5,3,5,3,5,5,3,5,5,4,5,5,3,3,5,3,3,5,3,5,3,5,3,4,3,3,4,3,3,3,3.17,3,3,3,3,5,3,3.33,1,3,5,4,5,3,4,4,4,1,9,.,5,3,.,2,2,.,1,.,3,1,A friend showed me the video sometime in 2016,2
0,100,1669,1,11/12/2019 18:34,1,111262293,I felt a feeling of awe and amazement. Towards the end though I felt a little sadness because it felt like the end of something that you love. ,7,5,3,3,5,7,6,6,4,7,1,5,4,7,3,3,3,3,3,3,7,4,4,4,4,4.6,5,6,5,5,5,5.2,7,7,7,7,7,7,5,1,5,1,6,3.6,5,5,5,4,6,5,4.73,4,4,2,6,7,1,7,6,7,6.17,6,6,2,1,5,3,5,3,4,4,5,3,5,3.38,1,2,5,6,5,4,3.83,5,5,5,2,1,7,4.17,1,6,7,5,6,7,7,6.33,4,1,10,.,1,3,.,1,2,.,1,.,1,2,.,2
0,100,1451,1,11/12/2019 18:34,1,111266129,"While I was watching the video I felt overwhelmed with how beautiful the world can be, and how much effort was put into creating such a beautiful world. There were a few times I felt like sighing because I was in awe of the natural wonders. There was a feeling of desire to get out and just explore the things I was seeing. ",7,6,7,3,2,7,7,7,6,2,5,7,4,7,4,4,4,5,6,4.6,5,5,5,4,6,5,5,3,4,6,5,4.6,7,7,6,7,5,6.4,6,4,7,5,7,5.8,6,6,5,2,5,4.8,5.2,2,6,2,6,7,6,2,7,7,5.83,7,2,6,5,1,7,2,6,2,6,2,6,6,6.13,4,7,5,6,4,5,5.17,5,7,5,1,1,7,4.33,1,6,7,5,4,3,3,4.67,4,1,7,.,11,2,.,2,2,.,1,.,1,2,.,2
